"12gb -- Prices of Domestic Fuels in Energy Production (VAT not included), 1999Q3-2023Q3"

"Quarter","Domestic fuel","Price (eur/MWh)","Price, year-on-year change (%)"
"1999Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",9.0,.
"1999Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"1999Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",9.0,.
"1999Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"1999Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",8.9,.
"1999Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"1999Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",9.0,.
"1999Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2000Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",8.9,.
"2000Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2000Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",9.1,.
"2000Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2000Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",8.9,.
"2000Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2000Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",9.1,.
"2000Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2000Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",8.9,-0.6
"2000Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2000Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",9.2,2.4
"2000Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2000Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",9.0,0.9
"2000Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2000Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",9.3,2.6
"2000Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2001Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",9.1,2.9
"2001Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2001Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",9.4,3.5
"2001Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2001Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",9.2,3.8
"2001Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2001Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",9.5,5.2
"2001Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2001Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",9.2,3.1
"2001Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2001Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",9.0,-2.3
"2001Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2001Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",9.2,1.6
"2001Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2001Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",9.3,0.5
"2001Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2002Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",9.2,0.5
"2002Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2002Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",9.4,-0.3
"2002Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
"2002Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",9.2,-0.2
"2002Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",.,.
"2002Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",9.5,-0.8
"2002Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",.,.
