Entity,Code,Year,"17.13.1 - Gross public sector debt, Central Government, as a proportion of GDP (%) - DP_DOD_DLD2_CR_CG_Z1"
Australia,AUS,1995,4.38
Australia,AUS,1996,4.12
Australia,AUS,1997,3.91
Australia,AUS,1998,3.14
Australia,AUS,1999,12.68
Australia,AUS,2000,10.82
Australia,AUS,2001,9.67
Australia,AUS,2002,8.62
Australia,AUS,2003,6.8
Australia,AUS,2004,6.22
Australia,AUS,2005,5.93
Australia,AUS,2006,5.48
Australia,AUS,2007,5.33
Australia,AUS,2008,4.94
Australia,AUS,2009,10.18
Australia,AUS,2010,13.57
Australia,AUS,2011,15.86
Australia,AUS,2012,17.99
Australia,AUS,2013,19.58
Australia,AUS,2014,22.55
Australia,AUS,2015,24.83
Australia,AUS,2016,27.79
Australia,AUS,2017,29.08
Australia,AUS,2018,28.83
Australia,AUS,2019,28.43
Australia,AUS,2020,40.92
Australia,AUS,2021,39.75
Austria,AUT,1995,0
Austria,AUT,1996,0
Austria,AUT,1997,0
Austria,AUT,1998,0
Austria,AUT,1999,0
Austria,AUT,2000,60.44
Austria,AUT,2001,60.5
Austria,AUT,2002,61.5
Austria,AUT,2003,61.28
Austria,AUT,2004,60.43
Austria,AUT,2005,63.64
Austria,AUT,2006,62.16
Austria,AUT,2007,59.73
Austria,AUT,2008,63.57
Austria,AUT,2009,73.56
Austria,AUT,2010,74.96
Austria,AUT,2011,73.96
Austria,AUT,2012,74.04
Austria,AUT,2013,73.58
Austria,AUT,2014,76.8
Austria,AUT,2015,77.86
Austria,AUT,2016,75.92
Austria,AUT,2017,72.18
Austria,AUT,2018,68.02
Austria,AUT,2019,65.06
Austria,AUT,2020,76.39
Austria,AUT,2021,76.24
Belgium,BEL,1995,116.6
Belgium,BEL,1996,114.04
Belgium,BEL,1997,111.36
Belgium,BEL,1998,106.87
Belgium,BEL,1999,103.87
Belgium,BEL,2000,98.93
Belgium,BEL,2001,98.16
Belgium,BEL,2002,95.3
Belgium,BEL,2003,89.33
Belgium,BEL,2004,85.09
Belgium,BEL,2005,83.86
Belgium,BEL,2006,80.87
Belgium,BEL,2007,77.2
Belgium,BEL,2008,82.74
Belgium,BEL,2009,86.49
Belgium,BEL,2010,85.77
Belgium,BEL,2011,88.47
Belgium,BEL,2012,88.97
Belgium,BEL,2013,89.61
Belgium,BEL,2014,90.04
Belgium,BEL,2015,88.83
Belgium,BEL,2016,89.15
Belgium,BEL,2017,86.98
Belgium,BEL,2018,84.96
Belgium,BEL,2019,82.85
Belgium,BEL,2020,93.55
Belgium,BEL,2021,91.41
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,54.58
Brazil,BRA,2010,47.99
Brazil,BRA,2011,48.41
Brazil,BRA,2012,50.35
Brazil,BRA,2013,47.48
Brazil,BRA,2014,52.06
Brazil,BRA,2015,60.58
Brazil,BRA,2016,64.55
Brazil,BRA,2017,67.92
Brazil,BRA,2018,69.43
Brazil,BRA,2019,68.18
Brazil,BRA,2020,77.05
Brazil,BRA,2021,71.82
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,66.94
Bulgaria,BGR,2001,62.29
Bulgaria,BGR,2002,49.63
Bulgaria,BGR,2003,41.65
Bulgaria,BGR,2004,34.5
Bulgaria,BGR,2005,25.2
Bulgaria,BGR,2006,19.44
Bulgaria,BGR,2007,15.18
Bulgaria,BGR,2008,12.47
Bulgaria,BGR,2009,13.21
Bulgaria,BGR,2010,13.91
Bulgaria,BGR,2011,15.12
Bulgaria,BGR,2012,16.1
Bulgaria,BGR,2013,16.47
Bulgaria,BGR,2014,26.01
Bulgaria,BGR,2015,25.16
Bulgaria,BGR,2016,27.91
Bulgaria,BGR,2017,24.03
Bulgaria,BGR,2018,21.21
Bulgaria,BGR,2019,19.09
Bulgaria,BGR,2020,23.04
Bulgaria,BGR,2021,21.97
Canada,CAN,1995,56.9
Canada,CAN,1996,56.37
Canada,CAN,1997,52.66
Canada,CAN,1998,49.64
Canada,CAN,1999,46.56
Canada,CAN,2000,40.82
Canada,CAN,2001,39.08
Canada,CAN,2002,37.57
Canada,CAN,2003,35.34
Canada,CAN,2004,31.54
Canada,CAN,2005,29.28
Canada,CAN,2006,27.08
Canada,CAN,2007,24.44
Canada,CAN,2008,28.42
Canada,CAN,2009,36.22
Canada,CAN,2010,36.58
Canada,CAN,2011,36.37
Canada,CAN,2012,37.01
Canada,CAN,2013,36.45
Canada,CAN,2014,33.68
Canada,CAN,2015,35.11
Canada,CAN,2016,35.65
Canada,CAN,2017,34.7
Canada,CAN,2018,33.42
Canada,CAN,2019,32.96
Canada,CAN,2020,51.28
Canada,CAN,2021,50.56
Croatia,HRV,1995,22.18
Croatia,HRV,1996,24.05
Croatia,HRV,1997,23.39
Croatia,HRV,1998,21.78
Croatia,HRV,1999,27.65
Croatia,HRV,2000,32.74
Croatia,HRV,2001,33.97
Croatia,HRV,2002,33.68
Croatia,HRV,2003,35.38
Croatia,HRV,2004,37.84
Croatia,HRV,2005,38.67
Croatia,HRV,2006,36.52
Croatia,HRV,2007,35.54
Croatia,HRV,2008,38.59
Croatia,HRV,2009,47.08
Croatia,HRV,2010,55.75
Croatia,HRV,2011,62.11
Croatia,HRV,2012,67.8
Croatia,HRV,2013,79.16
Croatia,HRV,2014,81.72
Croatia,HRV,2015,81.06
Croatia,HRV,2016,77.02
Croatia,HRV,2017,73.98
Croatia,HRV,2018,70.61
Croatia,HRV,2019,68.61
Croatia,HRV,2020,81.19
Croatia,HRV,2021,73.12
